"TFName","mean_of_gene_mean_abs_TSS_distance","TF_distance_class"
"Tfcp2l1",73106.2678571429,"distal_TF"
"MNT",73217.2102941176,"distal_TF"
"Mlxip",73217.2102941176,"distal_TF"
"VEZF1",73229.7344676207,"distal_TF"
"Creb3l2",73523.4554938272,"distal_TF"
"ETV5::DRGX",73647.6739130435,"distal_TF"
"Six4",73691.6332217262,"distal_TF"
"TAL1::TCF3",74075.975,"distal_TF"
"ZNF184",74184.3630434783,"distal_TF"
"Arnt",74291.1347826087,"distal_TF"
"Pparg::Rxra",74333.3305084746,"distal_TF"
"TFAP2A",74392.5678591067,"distal_TF"
"POU4F1",75001.2777777778,"distal_TF"
"REL",75029.6975961539,"distal_TF"
"Wt1",75213.9664319249,"distal_TF"
"DPRX",75648.775862069,"distal_TF"
"ELK1",75915.9634567901,"distal_TF"
"PAX8",76014.4766666667,"distal_TF"
"Ebf2",76114.4060905895,"distal_TF"
"ZNF418",76204.7894736842,"distal_TF"
"SNAI3",76533.5145382396,"distal_TF"
"Nanog",76575.7990196078,"distal_TF"
"GATA2",76585.162745098,"distal_TF"
"ZNF530",76626.4451388889,"distal_TF"
"FOXE1",76659.2989130435,"distal_TF"
"NR4A1",76692.0858974359,"distal_TF"
"TCF21",76763.467362065,"distal_TF"
"HESX1",76845.0704326079,"distal_TF"
"TFAP2C",77452.9378593825,"distal_TF"
"ZBTB12",77753.8191468254,"distal_TF"
"HOXB2::ELK1",77771.875,"distal_TF"
"ISX",78197.214253704,"distal_TF"
"Nobox",78197.214253704,"distal_TF"
"NEUROG1",78359.6236263736,"distal_TF"
"MAX::MYC",78617.931372549,"distal_TF"
"DUXA",78629.2307692308,"distal_TF"
"HNF1B",78675.9090909091,"distal_TF"
"Sox5",78723.3333333333,"distal_TF"
"GSC2",78885.2871735791,"distal_TF"
"HES6",78989.1333333333,"distal_TF"
"BHLHE23",79007.6825396825,"distal_TF"
"HOXD12::ELK1",79079.3529411765,"distal_TF"
"BHLHE40",79159.975708502,"distal_TF"
"NKX2-2",79298.9364583333,"distal_TF"
"ELF4",79445.1228070176,"distal_TF"
"ZNF93",79495.0151515152,"distal_TF"
"ZNF24",79576.64,"distal_TF"
"SP4",79701.3517684851,"distal_TF"
"IRF9",80091.3333333333,"distal_TF"
"ZBTB7C",80265.237877302,"distal_TF"
"OSR1",80613.7751984127,"distal_TF"
"Npas2",80664.3607142857,"distal_TF"
"LBX2",80749.4588349246,"distal_TF"
"Nkx3-1",80784.9945079695,"distal_TF"
"GRHL2",80808.1852380952,"distal_TF"
"TBX3",80895.2285714286,"distal_TF"
"GBX2",80987.9304591907,"distal_TF"
"HES1",81091.0401098901,"distal_TF"
"POU1F1",81578.2,"distal_TF"
"THRB",81800.2520833333,"distal_TF"
"NFYC",81813.4549707602,"distal_TF"
