"TFName","n_genes_targeted","total_positive_events","mean_of_gene_mean_abs_TSS_distance","median_of_gene_mean_abs_TSS_distance","sd_gene_mean_abs_TSS_distance"
"TCF21",64,295,76763.467362065,16418.5,119388.552857346
"HESX1",74,333,76845.0704326079,26907,127589.713051625
"TFAP2C",133,1665,77452.9378593825,13370.3333333333,165377.175338937
"ZBTB12",80,212,77753.8191468254,19758.5,134182.595308676
"HOXB2::ELK1",24,70,77771.875,10130,138719.382004388
"ISX",71,311,78197.214253704,25877,129807.877316547
"Nobox",71,311,78197.214253704,25877,129807.877316547
"NEUROG1",26,135,78359.6236263736,21155,110404.987153416
"MAX::MYC",17,74,78617.931372549,8516,114658.382574411
"DUXA",13,54,78629.2307692308,55438,70032.0183203772
"HNF1B",11,51,78675.9090909091,33312,92543.1724617808
"Sox5",33,86,78723.3333333333,33389,94571.7344862045
"GSC2",93,211,78885.2871735791,39107,124026.794385717
"HES6",15,48,78989.1333333333,6164,121997.022492862
"BHLHE23",18,83,79007.6825396825,22164.6428571429,113613.613276003
"HOXD12::ELK1",17,49,79079.3529411765,30721,140435.486459059
"BHLHE40",38,172,79159.975708502,27312.5,116568.657490604
"NKX2-2",48,129,79298.9364583333,12343.5,141850.229909063
"ELF4",57,204,79445.1228070176,10285,156053.391156202
"ZNF93",22,102,79495.0151515152,10216.5,154286.616507794
"ZNF24",5,14,79576.64,55419.2,78174.2608378742
"SP4",126,772,79701.3517684851,11797,220119.661122406
"IRF9",9,27,80091.3333333333,21630,116002.682684497
"ZBTB7C",138,561,80265.237877302,15841,161203.590831012
"OSR1",84,300,80613.7751984127,14893.5,173327.117072781
"Npas2",42,188,80664.3607142857,25376,116881.609866967
"LBX2",73,279,80749.4588349246,25877,136898.962386981
"Nkx3-1",111,418,80784.9945079695,21920.75,140637.249373578
"GRHL2",45,139,80808.1852380952,24805,130440.247625441
"TBX3",35,80,80895.2285714286,13341,132420.112927643
"GBX2",73,283,80987.9304591907,27937,135343.326350136
"HES1",104,567,81091.0401098901,10408.1666666667,164315.856875481
"POU1F1",5,11,81578.2,40716,76255.4042983184
"THRB",48,161,81800.2520833333,19146.5,166340.933681429
"NFYC",57,174,81813.4549707602,17413,139721.451272055
"FEV",137,582,82210.0447688564,16103,154878.003567076
"ETV2::DRGX",39,122,82291.5897435897,30722,128802.143741143
"EBF3",86,527,82405.7828270088,19780,162620.290515154
"GCM2",78,238,82605.9497863248,13805,236692.045582586
"TRPS1",39,96,82622.5760683761,35699,120351.023433541
"TBX2",73,211,82627.8132420091,22193,120522.763220822
"CLOCK",86,354,82705.7544867277,17372,153726.54440787
"TFE3",25,136,83043.68,28812,150507.059372565
"NKX2-5",51,134,83419.4495798319,21940,140154.978090044
"KLF5",174,1265,83422.3253834269,15609.5,198234.102917763
"SMAD3",6,18,83454.8333333333,29938.5,98536.4408275774
"MYCN",46,266,83485.0641304348,14258.5,129306.756572354
"NFIA",92,320,83668.2148421325,24612,130344.802272295
"Dlx3",75,306,83751.4845238095,27937,141094.027902405
"POU4F3",5,12,83844.3333333333,55430,78002.3506454916
"SP5",200,1458,84087.119942534,17971.8,180846.965213931
"ZNF75A",9,24,84122.7777777778,24799,110794.872673308
"NR2F6",5,19,84147.8,109096,71208.9497514182
"USF1",29,123,84319.2844827586,28812,145376.834466741
"Dlx4",103,403,84523.6537335911,25911.5,149974.684355112
"DLX6",96,405,84533.5434486231,26135.75,153023.188154692
"ELF1",176,762,84621.1557359307,19924.5,152747.341746859
"NR2C1",224,1255,84656.5830103149,19545.8333333333,161828.664797606
"ISL2",150,643,84752.9282315832,27551.5,125715.415800867
"ZNF263",128,580,85038.8900306074,21000,194695.442787226
"GATA6",59,148,85102.8935028249,35699,120202.185614023
"ETV5",122,514,85263.8293520687,14123,162012.874705548
"TCF4",90,430,85476.4171190075,9180,242490.619160044
"TEAD1",18,36,85509.1111111111,46454,120232.512339212
"ZSCAN21",48,166,85604.4991319444,35175,127748.106772923
"Hoxd13",43,106,85606.0511627907,23713,149864.468863134
"MSANTD3",125,420,85692.4602564103,23118,155125.278712736
"GATA5",89,254,85704.2428303906,33053,115145.479787058
"PKNOX2",2,7,85884,85884,111943.488743205
"TGIF1",2,7,85884,85884,111943.488743205
"OLIG2",34,138,86019.4916666667,21647,114479.145652733
"FOXD3",28,87,86050.5386904762,44512.5,95971.7883294353
"BARHL1",75,217,86149.5881587301,21182,140388.962121169
"MEF2C",46,160,86204.402173913,24244.25,111356.085115002
"HOXD9",50,133,86315.411,40594.5,104751.830765793
"MITF",28,154,86439.8571428571,35499.5,143154.261979662
"Nr1h3::Rxra",31,87,86454.7419354839,39112,92274.5539174507
"TLX2",75,318,86513.6174300144,30851,140034.243955408
"RAX",114,500,86723.4824618364,24603.4166666667,156103.178304917
