"TFName","timepoint","n_positive_expression","n_negative_expression","n_total_positive_contrib","positive_expression_fraction","negative_expression_fraction","mean_contribution","median_contribution","global_positive_fraction","binomial_p_value","binomial_p_adj","difference_from_timepoint_global","expression_bias"
"OVOL2","day_0",25,20,45,0.555555555555556,0.444444444444444,0.0107535783111111,0.011052949,0.515210540681373,0.655626786075275,0.97735110294074,0.0403450148741834,"positive_expression_enriched"
"TBX1","day_0",25,20,45,0.555555555555556,0.444444444444444,0.0104105851777778,0.008117259,0.515210540681373,0.655626786075275,0.97735110294074,0.0403450148741834,"positive_expression_enriched"
"POU3F1","day_0",9,11,20,0.45,0.55,0.00765525945,0.0035687685,0.515210540681373,0.656765058413703,0.97735110294074,-0.0652105406813726,"negative_expression_enriched"
"NEUROG2","day_0",92,93,185,0.497297297297297,0.502702702702703,0.0136552137081081,0.012738909,0.515210540681373,0.659190009416709,0.97735110294074,-0.0179132433840756,"negative_expression_enriched"
"ETV5::DRGX","day_0",22,24,46,0.478260869565217,0.521739130434783,0.018670805173913,0.0142966905,0.515210540681373,0.659709254611585,0.97735110294074,-0.0369496711161556,"negative_expression_enriched"
"GSC","day_0",22,24,46,0.478260869565217,0.521739130434783,0.0072169660340114,0.0050408445,0.515210540681373,0.659709254611585,0.97735110294074,-0.0369496711161556,"negative_expression_enriched"
"Nanog","day_0",22,24,46,0.478260869565217,0.521739130434783,0.0112233405218087,0.0094811575,0.515210540681373,0.659709254611585,0.97735110294074,-0.0369496711161556,"negative_expression_enriched"
"FOXO1::ELK3","day_0",41,43,84,0.488095238095238,0.511904761904762,0.0189242683690476,0.017490277,0.515210540681373,0.662956354207237,0.97735110294074,-0.0271153025861346,"negative_expression_enriched"
"MSANTD3","day_0",71,61,132,0.537878787878788,0.462121212121212,0.0166073508567703,0.0122013775,0.515210540681373,0.66344071043233,0.97735110294074,0.0226682471974153,"positive_expression_enriched"
"ONECUT1","day_0",12,9,21,0.571428571428571,0.428571428571429,0.00802346257481425,0.008783182,0.515210540681373,0.666723845020766,0.97735110294074,0.0562180307471983,"positive_expression_enriched"
"FEV","day_0",103,91,194,0.530927835051546,0.469072164948454,0.0210816984123711,0.017174615,0.515210540681373,0.66729375472716,0.97735110294074,0.0157172943701733,"positive_expression_enriched"
"TEAD4","day_0",10,12,22,0.454545454545455,0.545454545454545,0.0171363284090909,0.014332294,0.515210540681373,0.671329466695887,0.97735110294074,-0.0606650861359176,"negative_expression_enriched"
"HOXB6","day_0",137,136,273,0.501831501831502,0.498168498168498,0.0105601022029036,0.009903499,0.515210540681373,0.671999770037,0.97735110294074,-0.0133790388498706,"negative_expression_enriched"
"Isl1","day_0",24,26,50,0.48,0.52,0.00793975810174316,0.0040257575,0.515210540681373,0.672284577574116,0.97735110294074,-0.0352105406813726,"negative_expression_enriched"
"NFYA","day_0",28,23,51,0.549019607843137,0.450980392156863,0.0125049607843137,0.011940956,0.515210540681373,0.675708088519371,0.97735110294074,0.0338090671617644,"positive_expression_enriched"
