"TFName","timepoint","expression_direction","n_observations","pearson_r","pearson_p_value","spearman_rho","spearman_p_value","pearson_p_adj","spearman_p_adj","abs_pearson_r","abs_spearman_rho"
"NFIL3","day_1","negative_expression",19,0.0181313571053384,0.941270680470456,-0.0834064969271291,0.734254955799296,0.997774976357545,0.933631876727355,0.0181313571053384,0.0834064969271291
"NR1I3","day_1","negative_expression",61,0.165506227721558,0.202410138261485,0.042954441101734,0.742385315650519,0.819524859954491,0.933631876727355,0.165506227721558,0.042954441101734
"Nr1H2","day_1","negative_expression",70,-0.0553805168407617,0.64885494132298,-0.0408634707718046,0.736966842688947,0.929073071549068,0.933631876727355,0.0553805168407617,0.0408634707718046
"Nr1H4","day_1","negative_expression",70,-0.0553805168407617,0.64885494132298,-0.0408634707718046,0.736966842688947,0.929073071549068,0.933631876727355,0.0553805168407617,0.0408634707718046
"Olig2","day_1","negative_expression",164,0.0737075797648861,0.348257595079851,-0.0250537607103277,0.750150745873182,0.882329763252904,0.933631876727355,0.0737075797648861,0.0250537607103277
"RXRA::VDR","day_1","negative_expression",4,-0.113189491103124,0.886810508896876,-0.258198889747161,0.741801110252839,0.996003310089952,0.933631876727355,0.113189491103124,0.258198889747161
"Sox7","day_1","negative_expression",5,-0.0148761590134315,0.981059784697902,0.2,0.747060078104662,0.997774976357545,0.933631876727355,0.0148761590134315,0.2
"TBX20","day_1","negative_expression",8,0.221104546031174,0.598742297840559,0.142857142857143,0.735764859879812,0.929073071549068,0.933631876727355,0.221104546031174,0.142857142857143
"TFAP2C","day_1","negative_expression",277,0.0102828449105956,0.864718182378383,-0.020552248241186,0.733444814246843,0.996003310089952,0.933631876727355,0.0102828449105956,0.020552248241186
"Tcf12","day_1","negative_expression",164,0.073707579764886,0.348257595079852,-0.0250537607103277,0.750150745873182,0.882329763252904,0.933631876727355,0.073707579764886,0.0250537607103277
"Twist2","day_1","negative_expression",164,0.073707579764886,0.348257595079852,-0.0250537607103277,0.750150745873182,0.882329763252904,0.933631876727355,0.073707579764886,0.0250537607103277
