"TF1","TF2","timepoint","n_TF1_only","n_TF2_only","n_Both_TFs","median_TF1_only","median_TF2_only","median_Both_TFs","mean_TF1_only","mean_TF2_only","mean_Both_TFs","p_Both_vs_TF1","p_Both_vs_TF2","p_TF1_vs_TF2","p_adj_Both_vs_TF1","p_adj_Both_vs_TF2","p_adj_TF1_vs_TF2","diff_Both_minus_TF1","diff_Both_minus_TF2","diff_TF1_minus_TF2"
"ELF2","NFIX","day_1",58,49,154,0.492671773872307,0.104905228359983,-0.136139866433109,0.232956821872891,0.0369984854721802,-0.104980170755882,0.00328566986136912,0.325025096015474,0.289221721283442,0.0348281005305127,0.689053203552805,0.512227085422085,-0.628811640305417,-0.241045094793092,0.387766545512324
"ELF2","NFIX","day_7",58,49,154,-0.232291760969398,-0.330997686956392,-0.00730645182924656,-0.236329562308145,-0.144019901239541,0.076581922849763,0.00712316565600357,0.110570456515386,0.48178948649426,0.125842593256063,0.281742028620935,0.764092220023756,0.224985309140151,0.323691235127145,0.0987059259869945
"ELF2","Nr1h3","day_0",65,54,147,0.565911063791545,-0.186958660979019,-0.394518314927746,0.237688435353251,-0.0435949980374123,-0.0740190420079878,0.0615229337096982,0.903108018269292,0.112300466986711,0.559265914540757,0.988940598518026,0.541084068208696,-0.960429378719291,-0.207559653948728,0.752869724770563
"ELF2","Nr1h3","day_1",65,54,147,0.12942157108771,-0.110031422596824,-0.00699441965479565,0.0282171742795089,-0.108178164394153,-0.0305412718091585,0.608405095019004,0.447768287535188,0.309242027079449,0.964561496339002,0.75021028707103,0.525314981897781,-0.136415990742506,0.103037002942028,0.239452993684534
"ELF2","Nr1h3","day_7",65,54,147,-0.584785897249701,0.460582537187225,0.00369001070664151,-0.265905609632761,0.151773162431567,0.104560313817147,0.0013381972117283,0.764518225045567,0.00528876081507799,0.0886555652770001,0.876119992064099,0.10780935507659,0.588475907956343,-0.456892526480583,-1.04536843443693
"ELF2","RBPJ","day_0",61,47,151,0.478591841172715,-0.138938510971908,-0.129670434745797,0.183825361919334,0.0304738896861284,-0.0440026354588893,0.106856972226435,0.536599662769748,0.453371568572766,0.613443046905848,0.859774538113653,0.807395915605831,-0.608262275918512,0.009268076226111,0.617530352144623
"ELF2","RBPJ","day_1",61,47,151,-0.0118667561199567,0.0318687582708074,0.0491649655312892,0.00820043606697269,-0.016792199118056,-0.020898524687838,0.72730574537682,0.972096451593146,0.847664617556745,0.977912073589821,0.986609396563082,0.885027030978065,0.0610317216512459,0.0172962072604818,-0.0437355143907641
"ELF2","RBPJ","day_7",61,47,151,-0.364266763958703,-0.0964443740908163,0.0318157572014502,-0.192025797986309,-0.0136816905680738,0.064901160146728,0.0478716290289505,0.651403960234207,0.254202644223529,0.325281581863381,0.818113978493199,0.646389505548756,0.396082521160153,0.128260131292266,-0.267822389867887
"ELF2","SP5","day_0",56,44,156,-0.58205760005815,0.13539156254889,0.231117808842608,-0.214014517916119,0.0343937348510218,0.106113859782627,0.0471887359270101,0.552335932166022,0.305722072167577,0.530890029140626,0.859774538113653,0.727427830683619,0.813175408900759,0.0957262462937181,-0.71744916260704
"ELF2","SP5","day_1",56,44,156,0.462186756983562,0.174737848772677,-0.0775329177850813,0.273521065241204,0.093702274082322,-0.11520916846978,0.00048669637705437,0.0896468449115619,0.212600103068806,0.0165238715436613,0.507384355877788,0.454346994461561,-0.539719674768644,-0.252270766557758,0.287448908210886
"ELF2","SP5","day_7",56,44,156,-0.0505613963292176,-0.286284560889578,-0.0906762535177033,-0.0595065473250873,-0.128096008933343,0.00909530868715379,0.626747321262024,0.259291074280938,0.566726061319514,0.818167685391312,0.51277712451081,0.811796790538763,-0.0401148571884857,0.195608307371874,0.23572316456036
"ELF2","VAX2","day_0",57,43,155,-0.129670434745797,-0.0737599696237127,0.14346324799174,-0.069202905336524,0.0935875849361195,0.054925901464316,0.283174949849737,0.713645633366018,0.274352063289914,0.66123365987808,0.923867510054666,0.699711946845797,0.273133682737537,0.217223217615453,-0.0559104651220843
"ELF2","VAX2","day_1",57,43,155,0.0938987063850482,-0.453414723278757,-0.0118667561199567,0.0480023860890959,-0.189240156956004,-0.0347844299023012,0.474834919465489,0.186678156647789,0.103270896166223,0.905260817686004,0.56432697865304,0.307491994202799,-0.105765462505005,0.4415479671588,0.547313429663805
